"Nursery","Latitude","Longitude","MAT","MAP","Trees Measured"
"Adelaide Advanced Trees",-35.064844,138.647758,15.4,698,397
"Adelaide Tree Farm",-34.995084,138.766712,14.3,862,89
"Alpine Nurseries",-33.659596,151.026671,16.7,1175,881
"Andreasens Green - Kemps Creek",-33.87299,150.780626,16.8,846,725
"Andreasens Green - Mangrove Mountain",-33.327898,151.157264,16.6,1062,217
"Arborwest Tree Farm",-31.72602,115.830227,18.5,760,764
"Benara Nurseries",-31.595196,115.724438,18.4,747,1180
"Cleveland Nursery",-34.942277,138.911917,13.8,793,197
"Darwin Plant wWholesalers",-12.573589,131.25268,27.3,1408,821
"Ellenby Tree Farm",-31.763484,115.862019,18.3,760,1060
"Established Tree Transplanters",-37.812102,145.461795,13.9,977,409
"Fleming's Nurseriess",-37.862445,145.444704,13.4,1085,1209
"Freshford Nurseries",-34.823419,138.883282,14,733,864
"Greenstock Nurseries",-27.256703,153.024981,20.2,1283,683
"Heynes's Nursery",-34.74424,138.609229,16.6,456,288
"Ibrox Park Nursery",-27.553837,153.153343,20.1,1192,266
"logans Nursery",-27.000872,153.029939,20.2,1414,451
"Manor Nurseries",-34.97082,138.864022,13.8,793,140
"Mt William Advanced Tree Nursery",-37.239562,144.782219,12.3,833,1122
"Pallara Trees",-27.620971,152.998968,20.1,1090,329
"plants direct",-26.476995,152.9986,20,1650,684
"Speciality Trees",-37.951617,145.340269,13.4,1085,886
"Trees Impact",-33.180472,151.571626,17.8,1266,158
